                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8349,                  3.889,                 3.0831,                 1.8024,                0.00506,                0.72329,                0.13701,                0.05695,                0.00209,                0.29863,                0.06058,                0.01352,                 1.8644,                 3.0295,                 3.4329,                 1.8628,               0.070789,              0.0032456,              0.0032456
                      1,                 1.4696,                 2.6439,                 2.5515,                 1.4868,                0.44917,                0.16438,                0.20536,                0.09602,                0.34232,                0.12121,                0.11791,                0.02988,                 1.5678,                 2.1079,                 3.0196,                 1.6165,               0.037533,              0.0033224,              0.0033224
